Target: CBERS4A

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
04 Jan 2000 05:23:39.651    04 Jan 2000 05:34:43.438      663.78751335    
04 Jan 2000 07:05:16.187    04 Jan 2000 07:10:18.887      302.69941961    
04 Jan 2000 16:26:58.722    04 Jan 2000 16:35:51.735      533.01333835    
04 Jan 2000 18:05:15.690    04 Jan 2000 18:15:12.444      596.75416328    
05 Jan 2000 04:49:21.172    05 Jan 2000 04:58:35.374      554.20234061    
05 Jan 2000 06:28:05.555    05 Jan 2000 06:37:36.346      570.79042423    
05 Jan 2000 15:55:18.515    05 Jan 2000 15:57:42.626      144.11125942    
05 Jan 2000 17:29:22.720    05 Jan 2000 17:40:40.753      678.03294598    
06 Jan 2000 04:17:00.873    06 Jan 2000 04:20:22.504      201.63109554    
06 Jan 2000 05:52:14.093    06 Jan 2000 06:03:21.410      667.31743945    


Number of events : 18


Observer: MA
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:29:14.169    01 Jan 2000 16:38:10.098      535.92954600    
01 Jan 2000 18:07:42.630    01 Jan 2000 18:17:19.323      576.69317523    
02 Jan 2000 04:58:43.486    02 Jan 2000 05:09:40.053      656.56737926    
02 Jan 2000 06:40:32.318    02 Jan 2000 06:45:22.703      290.38502817    
02 Jan 2000 17:31:45.214    02 Jan 2000 17:43:00.929      675.71536055    
03 Jan 2000 04:24:43.073    03 Jan 2000 04:33:24.956      521.88349748    
03 Jan 2000 06:03:03.937    03 Jan 2000 06:12:43.208      579.27021724    
03 Jan 2000 16:56:38.783    03 Jan 2000 17:07:51.770      672.98706364    
03 Jan 2000 18:40:06.790    03 Jan 2000 18:42:02.140      115.34998255    
04 Jan 2000 05:27:10.232    04 Jan 2000 05:38:23.659      673.42706232    
04 Jan 2000 16:22:25.104    04 Jan 2000 16:31:52.667      567.56373119    
04 Jan 2000 18:01:24.893    04 Jan 2000 18:10:31.384      546.49104449    
05 Jan 2000 04:52:05.529    05 Jan 2000 05:03:12.562      667.03338535    
05 Jan 2000 06:35:00.041    05 Jan 2000 06:37:47.367      167.32573601    
05 Jan 2000 15:50:06.336    05 Jan 2000 15:54:04.352      238.01612123    
05 Jan 2000 17:25:16.876    05 Jan 2000 17:36:23.808      666.93181805    
06 Jan 2000 04:17:53.464    06 Jan 2000 04:27:08.856      555.39154062    
06 Jan 2000 05:56:45.188    06 Jan 2000 06:05:55.570      550.38122091    


Number of events : 18


Observer: MG
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:33:16.015    01 Jan 2000 16:43:39.159      623.14415165    
01 Jan 2000 18:13:21.491    01 Jan 2000 18:21:33.230      491.73926662    
02 Jan 2000 04:54:13.692    02 Jan 2000 05:04:29.576      615.88345596    
02 Jan 2000 06:33:56.567    02 Jan 2000 06:42:19.945      503.37769047    
02 Jan 2000 15:59:43.894    02 Jan 2000 16:07:14.845      450.95178323    
02 Jan 2000 17:36:49.452    02 Jan 2000 17:47:33.116      643.66348407    
03 Jan 2000 04:20:34.525    03 Jan 2000 04:27:34.469      419.94321638    
03 Jan 2000 05:57:47.365    03 Jan 2000 06:08:29.113      641.74785563    
03 Jan 2000 17:01:18.135    03 Jan 2000 17:12:41.614      683.47898237    
04 Jan 2000 05:22:21.900    04 Jan 2000 05:33:41.701      679.80086067    
04 Jan 2000 16:26:34.218    04 Jan 2000 16:37:13.581      639.36258643    
04 Jan 2000 18:07:12.782    04 Jan 2000 18:14:40.016      447.23465518    
05 Jan 2000 04:47:33.355    05 Jan 2000 04:58:06.649      633.29348430    
05 Jan 2000 06:27:41.020    05 Jan 2000 06:35:25.869      464.84847536    
05 Jan 2000 15:52:48.439    05 Jan 2000 16:01:00.460      492.02110508    
05 Jan 2000 17:30:25.751    05 Jan 2000 17:40:53.433      627.68202875    
06 Jan 2000 04:13:39.211    06 Jan 2000 04:21:27.964      468.75288236    
06 Jan 2000 05:51:21.298    06 Jan 2000 06:01:47.981      626.68290547    


Number of events : 18


Observer: MS
