Target: SCD2

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
03 Jan 2000 05:34:26.105    03 Jan 2000 05:46:11.411      705.30522658    
03 Jan 2000 07:22:20.583    03 Jan 2000 07:31:08.384      527.80105522    


Number of events : 18


Observer: ES
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 17:56:52.860    01 Jan 2000 18:02:11.766      318.90607488    
01 Jan 2000 19:40:03.585    01 Jan 2000 19:51:10.546      666.96100185    
01 Jan 2000 21:25:50.987    01 Jan 2000 21:37:51.970      720.98354880    
01 Jan 2000 23:12:33.508    01 Jan 2000 23:24:17.222      703.71403531    
02 Jan 2000 00:59:14.815    02 Jan 2000 01:10:58.964      704.14875780    
02 Jan 2000 02:45:41.101    02 Jan 2000 02:57:30.119      709.01752791    
02 Jan 2000 04:32:39.729    02 Jan 2000 04:42:49.922      610.19344364    
02 Jan 2000 18:54:27.000    02 Jan 2000 19:04:17.661      590.66072388    
02 Jan 2000 20:39:32.922    02 Jan 2000 20:51:28.075      715.15277016    
02 Jan 2000 22:26:01.009    02 Jan 2000 22:37:52.781      711.77269929    
03 Jan 2000 00:12:47.875    03 Jan 2000 00:24:27.855      699.97946243    
03 Jan 2000 01:59:17.686    03 Jan 2000 02:11:09.651      711.96543047    
03 Jan 2000 03:45:53.968    03 Jan 2000 03:57:06.098      672.12963675    
03 Jan 2000 05:34:14.383    03 Jan 2000 05:40:52.736      398.35324064    


Number of events : 14


Observer: GO
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 17:54:33.439    01 Jan 2000 17:58:47.451      254.01148087    
01 Jan 2000 19:37:20.228    01 Jan 2000 19:48:25.175      664.94658535    
01 Jan 2000 21:23:08.034    01 Jan 2000 21:35:09.871      721.83673424    
01 Jan 2000 23:10:07.222    01 Jan 2000 23:21:27.451      680.22977700    
02 Jan 2000 00:57:11.785    02 Jan 2000 01:08:12.595      660.80996400    
02 Jan 2000 02:43:40.865    02 Jan 2000 02:55:19.001      698.13635359    
02 Jan 2000 04:30:04.945    02 Jan 2000 04:41:44.192      699.24775214    
02 Jan 2000 06:17:46.067    02 Jan 2000 06:26:21.724      515.65719852    
02 Jan 2000 18:51:46.964    02 Jan 2000 19:01:25.146      578.18199989    
02 Jan 2000 20:36:48.160    02 Jan 2000 20:48:46.671      718.51016275    
02 Jan 2000 22:23:26.062    02 Jan 2000 22:35:06.360      700.29801299    
03 Jan 2000 00:10:36.601    03 Jan 2000 00:21:36.896      660.29545921    
03 Jan 2000 01:57:19.987    03 Jan 2000 02:08:40.616      680.62938665    
03 Jan 2000 03:43:38.955    03 Jan 2000 03:55:30.259      711.30479076    
03 Jan 2000 05:30:34.782    03 Jan 2000 05:41:00.487      625.70514316    


Number of events : 15


Observer: MA
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:05:16.316    01 Jan 2000 16:13:45.790      509.47369882    
01 Jan 2000 17:50:06.008    01 Jan 2000 18:02:00.087      714.07869790    
01 Jan 2000 19:36:44.017    01 Jan 2000 19:48:08.550      684.53273376    
01 Jan 2000 21:25:34.083    01 Jan 2000 21:32:54.677      440.59344605    
02 Jan 2000 02:48:49.827    02 Jan 2000 02:55:35.211      405.38346145    
02 Jan 2000 04:33:29.956    02 Jan 2000 04:44:32.356      662.39974113    
02 Jan 2000 06:19:32.583    02 Jan 2000 06:31:14.321      701.73838532    
02 Jan 2000 08:07:37.737    02 Jan 2000 08:16:07.577      509.84017428    
02 Jan 2000 15:20:20.239    02 Jan 2000 15:25:30.054      309.81517041    
02 Jan 2000 17:04:07.561    02 Jan 2000 17:15:13.241      665.68003383    
02 Jan 2000 18:50:02.363    02 Jan 2000 19:02:03.295      720.93153836    
02 Jan 2000 20:37:54.168    02 Jan 2000 20:47:20.839      566.67013094    
02 Jan 2000 22:29:21.535    02 Jan 2000 22:30:20.995      59.460522572    
03 Jan 2000 02:03:49.302    03 Jan 2000 02:07:06.499      197.19755711    
03 Jan 2000 03:47:39.067    03 Jan 2000 03:57:27.976      588.90883864    
03 Jan 2000 05:33:07.443    03 Jan 2000 05:44:58.124      710.68106998    
03 Jan 2000 07:20:14.747    03 Jan 2000 07:30:35.134      620.38679102    
03 Jan 2000 09:11:13.272    03 Jan 2000 09:13:16.729      123.45712149    


Number of events : 18


Observer: MG
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 17:56:53.921    01 Jan 2000 18:00:12.365      198.44453065    
01 Jan 2000 19:39:13.643    01 Jan 2000 19:50:04.652      651.00812557    
01 Jan 2000 21:24:51.402    01 Jan 2000 21:36:52.510      721.10805715    
01 Jan 2000 23:11:32.707    01 Jan 2000 23:23:16.446      703.73849391    
02 Jan 2000 00:58:18.035    02 Jan 2000 01:09:57.534      699.49894426    
02 Jan 2000 02:44:44.645    02 Jan 2000 02:56:36.463      711.81805964    
02 Jan 2000 04:31:31.422    02 Jan 2000 04:42:14.691      643.26825324    
02 Jan 2000 06:21:11.291    02 Jan 2000 06:24:43.743      212.45169385    
02 Jan 2000 18:53:44.514    02 Jan 2000 19:03:04.315      559.80017128    
02 Jan 2000 20:38:36.124    02 Jan 2000 20:50:27.408      711.28417096    
02 Jan 2000 22:24:59.727    02 Jan 2000 22:36:52.987      713.26003595    
03 Jan 2000 00:11:49.397    03 Jan 2000 00:23:25.971      696.57363009    
03 Jan 2000 01:58:22.080    03 Jan 2000 02:10:11.711      709.63126050    
03 Jan 2000 03:44:52.621    03 Jan 2000 03:56:21.886      689.26487120    
03 Jan 2000 05:32:39.912    03 Jan 2000 05:40:44.335      484.42312935    


Number of events : 15


Observer: MS
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 19:37:33.314    01 Jan 2000 19:46:28.953      535.63929442    
01 Jan 2000 21:22:14.047    01 Jan 2000 21:34:00.248      706.20091015    
01 Jan 2000 23:08:31.607    01 Jan 2000 23:20:27.583      715.97602058    
02 Jan 2000 00:55:18.279    02 Jan 2000 01:06:59.091      700.81224778    
02 Jan 2000 02:41:50.891    02 Jan 2000 02:53:41.744      710.85261967    
02 Jan 2000 04:28:22.312    02 Jan 2000 04:39:49.251      686.93807835    
02 Jan 2000 06:16:11.091    02 Jan 2000 06:24:08.566      477.47438002    
02 Jan 2000 18:52:59.591    02 Jan 2000 18:58:32.733      333.14170634    
02 Jan 2000 20:36:16.137    02 Jan 2000 20:47:25.080      668.94279871    
02 Jan 2000 22:22:04.756    02 Jan 2000 22:34:05.634      720.87871571    
03 Jan 2000 00:08:46.932    03 Jan 2000 00:20:31.197      704.26489263    
03 Jan 2000 01:55:27.217    03 Jan 2000 02:07:12.638      705.42041279    
03 Jan 2000 03:41:53.697    03 Jan 2000 03:53:41.476      707.77891092    
03 Jan 2000 05:28:55.604    03 Jan 2000 05:38:56.438      600.83381765    


Number of events : 14


Observer: MT
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 19:35:41.715    01 Jan 2000 19:46:16.359      634.64451738    
01 Jan 2000 21:21:11.924    01 Jan 2000 21:33:15.265      723.34158079    
01 Jan 2000 23:08:08.105    01 Jan 2000 23:19:29.350      681.24495110    
02 Jan 2000 00:55:25.587    02 Jan 2000 01:06:05.266      639.67888865    
02 Jan 2000 02:42:05.029    02 Jan 2000 02:53:18.643      673.61405493    
02 Jan 2000 04:28:20.618    02 Jan 2000 04:40:11.785      711.16744678    
02 Jan 2000 06:15:19.718    02 Jan 2000 06:25:39.512      619.79460610    
02 Jan 2000 18:50:21.584    02 Jan 2000 18:59:01.023      519.43873793    
02 Jan 2000 20:34:57.479    02 Jan 2000 20:46:49.093      711.61321923    
02 Jan 2000 22:21:26.038    02 Jan 2000 22:33:11.234      705.19613569    
03 Jan 2000 00:08:44.092    03 Jan 2000 00:19:32.569      648.47719671    
03 Jan 2000 01:55:41.808    03 Jan 2000 02:06:34.576      652.76868828    
03 Jan 2000 03:42:00.696    03 Jan 2000 03:53:44.733      704.03666011    
03 Jan 2000 05:28:32.054    03 Jan 2000 05:39:53.394      681.33915479    
03 Jan 2000 07:17:00.887    03 Jan 2000 07:23:46.749      405.86228605    


Number of events : 15


Observer: PA
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:04:12.056    01 Jan 2000 16:12:04.607      472.55085889    
01 Jan 2000 17:48:52.483    01 Jan 2000 18:00:37.295      704.81245302    
01 Jan 2000 19:35:18.593    01 Jan 2000 19:46:55.994      697.40092582    
01 Jan 2000 21:23:55.460    01 Jan 2000 21:31:44.820      469.36012327    
02 Jan 2000 02:48:47.997    02 Jan 2000 02:53:05.514      257.51720454    
02 Jan 2000 04:32:45.274    02 Jan 2000 04:43:03.750      618.47519627    
02 Jan 2000 06:18:24.181    02 Jan 2000 06:30:15.553      711.37250250    
02 Jan 2000 08:05:51.414    02 Jan 2000 08:15:38.435      587.02108862    
