Target,Observer,Start Time (UTC),Stop Time (UTC),Duration (s)
SCD2,ETC,2000-01-03 19:49:00.030,2000-01-03 20:00:10.605,670.57448023
SCD2,ETC,2000-01-03 21:34:52.222,2000-01-03 21:46:53.244,721.02261015
SCD2,ETC,2000-01-03 23:21:58.654,2000-01-03 23:33:07.370,668.71580053
SCD2,ETC,2000-01-04 01:09:11.529,2000-01-04 01:19:52.230,640.70153260
SCD2,ETC,2000-01-04 02:55:42.491,2000-01-04 03:07:07.565,685.07333571
SCD2,ETC,2000-01-04 04:42:00.386,2000-01-04 04:53:48.059,707.67323042
SCD2,ETC,2000-01-04 06:29:20.923,2000-01-04 06:38:50.464,569.54118224
SCD2,ETC,2000-01-04 19:03:24.686,2000-01-04 19:13:11.347,586.66119160
SCD2,ETC,2000-01-04 20:48:30.445,2000-01-04 21:00:31.054,720.60836664
SCD2,ETC,2000-01-04 22:35:14.153,2000-01-04 22:46:47.697,693.54409073
SCD2,ETC,2000-01-05 00:22:33.425,2000-01-05 00:33:15.715,642.29046578
SCD2,ETC,2000-01-05 02:09:21.869,2000-01-05 02:20:24.561,662.69132544
SCD2,ETC,2000-01-05 03:55:37.850,2000-01-05 04:07:27.490,709.64050374
SCD2,ETC,2000-01-05 05:42:21.205,2000-01-05 05:53:16.651,655.44593877
SCD2,ETC,2000-01-05 07:31:57.758,2000-01-05 07:36:05.913,248.15506901
SCD2,ETC,2000-01-05 18:18:25.342,2000-01-05 18:25:33.264,427.92227565
SCD2,ETC,2000-01-05 20:02:23.924,2000-01-05 20:13:59.628,695.70373219
SCD2,ETC,2000-01-05 21:48:35.623,2000-01-05 22:00:30.154,714.53108273
SCD2,ETC,2000-01-05 23:35:49.443,2000-01-05 23:46:46.832,657.38904455
SCD2,ETC,2000-01-06 01:22:55.414,2000-01-06 01:33:40.732,645.31747266
SCD2,ETC,2000-01-06 03:09:19.323,2000-01-06 03:20:54.973,695.65094254
SCD2,ETC,2000-01-06 04:55:42.476,2000-01-06 05:07:20.428,697.95163603
SCD2,ETC,2000-01-06 06:43:31.821,2000-01-06 06:51:52.410,500.58849505
SCD1,EMMN,2000-01-01 12:32:51.466,2000-01-01 12:42:28.690,577.22381760
SCD1,EMMN,2000-01-01 14:22:01.099,2000-01-01 14:27:52.984,351.88573689
SCD1,EMMN,2000-01-01 16:09:41.973,2000-01-01 16:15:28.012,346.03923715
SCD1,EMMN,2000-01-01 17:55:07.616,2000-01-01 18:04:38.859,571.24325791
SCD1,EMMN,2000-01-01 19:40:36.680,2000-01-01 19:52:29.501,712.82019034
SCD1,EMMN,2000-01-01 21:27:10.834,2000-01-01 21:38:29.806,678.97201659
SCD1,EMMN,2000-01-01 23:16:24.904,2000-01-01 23:22:10.128,345.22336638
SCD1,EMMN,2000-01-02 08:12:32.771,2000-01-02 08:22:18.775,586.00422033
SCD1,EMMN,2000-01-02 09:57:41.956,2000-01-02 10:09:43.721,721.76507934
SCD1,EMMN,2000-01-02 11:44:43.902,2000-01-02 11:55:34.574,650.67243852
SCD1,EMMN,2000-01-02 13:33:29.081,2000-01-02 13:40:51.702,442.62122529
SCD1,EMMN,2000-01-02 15:22:15.656,2000-01-02 15:27:12.909,297.25261847
SCD1,EMMN,2000-01-02 17:08:15.357,2000-01-02 17:16:14.592,479.23425782
