Target,Observer,Start Time (UTC),Stop Time (UTC),Duration (s),rev_time,day,coverage
CBERS4A,GO,2000-01-03 17:00:58.423,2000-01-03 17:11:55.403,656.98000118,39060.665,2000-01-03,0.0076039352
CBERS4A,GO,2000-01-03 18:42:34.359,2000-01-03 18:48:25.403,351.04467608,5438.956,2000-01-03,0.0040630171
CBERS4A,GO,2000-01-04 05:23:39.651,2000-01-04 05:34:43.438,663.78751367,38114.248,2000-01-04,0.0076827259
CBERS4A,GO,2000-01-04 07:05:16.187,2000-01-04 07:10:18.887,302.69941898,5432.749,2000-01-04,0.0035034655
CBERS4A,GO,2000-01-04 16:26:58.722,2000-01-04 16:35:51.735,533.01333835,33399.835,2000-01-04,0.0061691359
CBERS4A,GO,2000-01-04 18:05:15.690,2000-01-04 18:15:12.444,596.75416265,5363.955,2000-01-04,0.0069068769
CBERS4A,GO,2000-01-05 04:49:21.172,2000-01-05 04:58:35.374,554.20234061,38048.728,2000-01-05,0.0064143789
CBERS4A,GO,2000-01-05 06:28:05.555,2000-01-05 06:37:36.346,570.79042423,5370.181,2000-01-05,0.0066063707
CBERS4A,GO,2000-01-05 15:55:18.515,2000-01-05 15:57:42.626,144.11125942,33462.169,2000-01-05,0.0016679544
CBERS4A,GO,2000-01-05 17:29:22.720,2000-01-05 17:40:40.753,678.03294598,5500.094,2000-01-05,0.0078476035
CBERS4A,GO,2000-01-06 04:17:00.873,2000-01-06 04:20:22.504,201.63109554,38180.12,2000-01-06,0.0023336932
CBERS4A,GO,2000-01-06 05:52:14.093,2000-01-06 06:03:21.410,667.31743945,5511.589,2000-01-06,0.0077235815
CBERS4A,MA,2000-01-01 16:29:14.169,2000-01-01 16:38:10.098,535.929546,0.0,2000-01-01,0.0062028883
CBERS4A,MA,2000-01-01 18:07:42.630,2000-01-01 18:17:19.323,576.69317586,5372.532,2000-01-01,0.0066746895
CBERS4A,MA,2000-01-02 04:58:43.486,2000-01-02 05:09:40.053,656.56737989,38484.163,2000-01-02,0.0075991595
CBERS4A,MA,2000-01-02 06:40:32.318,2000-01-02 06:45:22.703,290.38502817,5452.265,2000-01-02,0.0033609378
CBERS4A,MA,2000-01-02 17:31:45.214,2000-01-02 17:43:00.929,675.71536055,38782.511,2000-01-02,0.0078207796
CBERS4A,MA,2000-01-03 04:24:43.073,2000-01-03 04:33:24.956,521.88349685,38502.144,2000-01-03,0.0060403183
CBERS4A,MA,2000-01-03 06:03:03.937,2000-01-03 06:12:43.208,579.27021724,5378.981,2000-01-03,0.0067045164
CBERS4A,MA,2000-01-03 16:56:38.783,2000-01-03 17:07:51.770,672.98706427,38635.575,2000-01-03,0.0077892021
CBERS4A,MA,2000-01-03 18:40:06.790,2000-01-03 18:42:02.140,115.34998255,5535.02,2000-01-03,0.0013350692
CBERS4A,MA,2000-01-04 05:27:10.232,2000-01-04 05:38:23.659,673.42706232,38708.092,2000-01-04,0.0077942947
CBERS4A,MA,2000-01-04 16:22:25.104,2000-01-04 16:31:52.667,567.56373182,38641.445,2000-01-04,0.0065690247
CBERS4A,MA,2000-01-04 18:01:24.893,2000-01-04 18:10:31.384,546.49104543,5372.226,2000-01-04,0.0063251278
CBERS4A,MA,2000-01-05 04:52:05.529,2000-01-05 05:03:12.562,667.03338535,38494.145,2000-01-05,0.0077202938
CBERS4A,MA,2000-01-05 06:35:00.041,2000-01-05 06:37:47.367,167.32573601,5507.479,2000-01-05,0.0019366405
CBERS4A,MA,2000-01-05 15:50:06.336,2000-01-05 15:54:04.352,238.01612123,33138.969,2000-01-05,0.0027548162
CBERS4A,MA,2000-01-05 17:25:16.876,2000-01-05 17:36:23.808,666.93181805,5472.524,2000-01-05,0.0077191183
CBERS4A,MA,2000-01-06 04:17:53.464,2000-01-06 04:27:08.856,555.39154062,38489.656,2000-01-06,0.0064281428
CBERS4A,MA,2000-01-06 05:56:45.188,2000-01-06 06:05:55.570,550.38122091,5376.332,2000-01-06,0.006370153
CBERS4A,MG,2000-01-01 16:33:16.015,2000-01-01 16:43:39.159,623.14415165,0.0,2000-01-01,0.0072123166
CBERS4A,MG,2000-01-01 18:13:21.491,2000-01-01 18:21:33.230,491.73926662,5382.332,2000-01-01,0.0056914267
CBERS4A,MG,2000-01-02 04:54:13.692,2000-01-02 05:04:29.576,615.88345533,37960.462,2000-01-02,0.0071282807
CBERS4A,MG,2000-01-02 06:33:56.567,2000-01-02 06:42:19.945,503.37768984,5366.991,2000-01-02,0.0058261307
CBERS4A,MG,2000-01-02 15:59:43.894,2000-01-02 16:07:14.845,450.95178323,33443.949,2000-01-02,0.0052193493
CBERS4A,MG,2000-01-02 17:36:49.452,2000-01-02 17:47:33.116,643.66348407,5374.607,2000-01-02,0.0074498088
CBERS4A,MG,2000-01-03 04:20:34.525,2000-01-03 04:27:34.469,419.94321638,37981.409,2000-01-03,0.0048604539
CBERS4A,MG,2000-01-03 05:57:47.365,2000-01-03 06:08:29.113,641.74785563,5412.896,2000-01-03,0.0074276372
CBERS4A,MG,2000-01-03 17:01:18.135,2000-01-03 17:12:41.614,683.478983,39169.022,2000-01-03,0.0079106364
CBERS4A,MG,2000-01-04 05:22:21.900,2000-01-04 05:33:41.701,679.80086067,43780.286,2000-01-04,0.0078680655
CBERS4A,MG,2000-01-04 16:26:34.218,2000-01-04 16:37:13.581,639.36258643,39172.517,2000-01-04,0.0074000299
CBERS4A,MG,2000-01-04 18:07:12.782,2000-01-04 18:14:40.016,447.23465518,5399.201,2000-01-04,0.005176327
CBERS4A,MG,2000-01-05 04:47:33.355,2000-01-05 04:58:06.649,633.2934843,37973.339,2000-01-05,0.0073297857
CBERS4A,MG,2000-01-05 06:27:41.020,2000-01-05 06:35:25.869,464.84847536,5374.371,2000-01-05,0.0053801907
CBERS4A,MG,2000-01-05 15:52:48.439,2000-01-05 16:01:00.460,492.02110508,33442.57,2000-01-05,0.0056946887
CBERS4A,MG,2000-01-05 17:30:25.751,2000-01-05 17:40:53.433,627.68202937,5365.291,2000-01-05,0.0072648383
CBERS4A,MG,2000-01-06 04:13:39.211,2000-01-06 04:21:27.964,468.75288268,37965.778,2000-01-06,0.0054253806
CBERS4A,MG,2000-01-06 05:51:21.298,2000-01-06 06:01:47.981,626.68290547,5393.334,2000-01-06,0.0072532744
CBERS4A,MS,2000-01-01 16:36:34.314,2000-01-01 16:42:22.610,348.29595677,0.0,2000-01-01,0.0040312032
CBERS4A,MS,2000-01-01 18:12:30.280,2000-01-01 18:23:36.966,666.68610707,5407.67,2000-01-01,0.0077162744
CBERS4A,MS,2000-01-02 04:57:21.777,2000-01-02 05:01:50.324,268.54663513,38024.811,2000-01-02,0.0031081786
CBERS4A,MS,2000-01-02 06:33:13.336,2000-01-02 06:44:18.635,665.29857027,5483.012,2000-01-02,0.0077002149
CBERS4A,MS,2000-01-02 17:37:14.748,2000-01-02 17:48:32.909,678.16127177,39176.113,2000-01-02,0.0078490888
CBERS4A,MS,2000-01-03 05:58:00.847,2000-01-03 06:09:14.066,673.21879644,43767.938,2000-01-03,0.0077918842
CBERS4A,MS,2000-01-03 07:40:16.131,2000-01-03 07:43:59.210,223.0790326,5462.065,2000-01-03,0.0025819332
CBERS4A,MS,2000-01-03 17:02:47.226,2000-01-03 17:12:52.581,605.35475817,33528.016,2000-01-03,0.0070064208
CBERS4A,MS,2000-01-03 18:42:22.956,2000-01-03 18:51:11.633,528.67696137,5370.375,2000-01-03,0.0061189463
CBERS4A,MS,2000-01-04 05:23:27.612,2000-01-04 05:33:19.872,592.25986748,37935.979,2000-01-04,0.0068548596
CBERS4A,MS,2000-01-04 07:02:43.077,2000-01-04 07:11:45.011,541.93458724,5363.205,2000-01-04,0.0062723911
CBERS4A,MS,2000-01-04 16:29:29.504,2000-01-04 16:36:16.584,407.0799664,33464.493,2000-01-04,0.0047115737
CBERS4A,MS,2000-01-04 18:06:03.519,2000-01-04 18:16:59.873,656.35469559,5386.935,2000-01-04,0.0075966979
CBERS4A,MS,2000-01-05 04:50:09.522,2000-01-05 04:56:01.397,351.87531587,37989.649,2000-01-05,0.004072631
CBERS4A,MS,2000-01-05 06:26:44.827,2000-01-05 06:37:40.701,655.87370249,5443.43,2000-01-05,0.0075911308
CBERS4A,MS,2000-01-05 17:30:40.040,2000-01-05 17:42:01.972,681.93206673,39179.339,2000-01-05,0.0078927323
CBERS4A,MS,2000-01-06 05:51:26.388,2000-01-06 06:02:43.989,677.60011823,43764.416,2000-01-06,0.007842594
CBERS4A,MT,2000-01-01 18:11:06.888,2000-01-01 18:22:26.581,679.6927118,0.0,2000-01-01,0.0078668138
CBERS4A,MT,2000-01-02 04:59:25.075,2000-01-02 05:02:48.122,203.0470627,38218.494,2000-01-02,0.0023500817
CBERS4A,MT,2000-01-02 06:34:37.766,2000-01-02 06:45:44.370,666.60359896,5509.644,2000-01-02,0.0077153194
CBERS4A,MT,2000-01-02 17:36:06.866,2000-01-02 17:47:11.128,664.26254787,39022.496,2000-01-02,0.0076882239
CBERS4A,MT,2000-01-02 19:18:17.864,2000-01-02 19:23:06.360,288.49546012,5466.736,2000-01-02,0.0033390678
CBERS4A,MT,2000-01-03 05:59:26.693,2000-01-03 06:10:38.884,672.19024514,38180.333,2000-01-03,0.0077799797
CBERS4A,MT,2000-01-03 07:42:09.941,2000-01-03 07:45:01.896,171.9547971,5491.057,2000-01-03,0.0019902176
CBERS4A,MT,2000-01-03 17:02:00.265,2000-01-03 17:11:12.516,552.25097698,33418.369,2000-01-03,0.0063917937
CBERS4A,MT,2000-01-03 18:40:37.417,2000-01-03 18:50:16.030,578.61327647,5364.901,2000-01-03,0.0066969129
CBERS4A,MT,2000-01-04 05:24:59.169,2000-01-04 05:34:42.023,582.85404317,38083.139,2000-01-04,0.0067459959
CBERS4A,MT,2000-01-04 07:04:11.237,2000-01-04 07:13:09.267,538.02940008,5369.214,2000-01-04,0.0062271921
CBERS4A,MT,2000-01-04 16:29:47.369,2000-01-04 16:33:33.371,226.00155686,33398.102,2000-01-04,0.0026157588
CBERS4A,MT,2000-01-04 18:04:37.487,2000-01-04 18:15:51.255,673.76794982,5464.116,2000-01-04,0.0077982402
CBERS4A,MT,2000-01-05 04:52:00.084,2000-01-05 04:57:10.578,310.49352527,38168.829,2000-01-05,0.0035936751
CBERS4A,MT,2000-01-05 06:28:09.383,2000-01-05 06:39:06.453,657.07028497,5458.805,2000-01-05,0.0076049802
CBERS4A,MT,2000-01-05 17:29:29.422,2000-01-05 17:40:42.352,672.93061718,39022.969,2000-01-05,0.0077885488
CBERS4A,MT,2000-01-05 19:12:49.470,2000-01-05 19:15:32.254,162.78426748,5527.118,2000-01-05,0.0018840772
CBERS4A,MT,2000-01-06 05:52:51.738,2000-01-06 06:04:09.051,677.31300137,38239.484,2000-01-06,0.0078392708
CBERS4A,PA,2000-01-01 16:30:42.052,2000-01-01 16:36:48.646,366.5932697,0.0,2000-01-01,0.0042429777
